,Accuracy,Precision,Recall,F1,AUC,N,Contamination
OCSVM,0.9015555555555556,0.06222222222222222,0.5714285714285714,0.1122244488977956,0.7804586449273037,9000.0,0.01
OCSVM,0.9067777777777778,0.3011111111111111,0.5634095634095634,0.3924692251991311,0.8227440240587324,9000.0,0.05
OCSVM,0.9083333333333333,0.5622222222222222,0.5400213447171825,0.5508982035928144,0.8084141547533028,9000.0,0.1
OCSVM,0.8753333333333333,0.87,0.43791946308724833,0.5825892857142857,0.8214125630784387,9000.0,0.2
OCSVM,0.8995,0.049,0.47572815533980584,0.08884859474161379,0.7844409063843021,10000.0,0.01
OCSVM,0.9108,0.307,0.6067193675889329,0.4077025232403719,0.8305486885413795,10000.0,0.05
OCSVM,0.9136,0.578,0.5666666666666667,0.5722772277227721,0.8148200794794532,10000.0,0.1
OCSVM,0.8786,0.888,0.4462311557788945,0.5939799331103679,0.8288157391200697,10000.0,0.2
MCD,0.983,0.0,0.0,0.0,0.3446986045173356,1000.0,0.01
MCD,0.911,0.1,0.10204081632653061,0.10101010101010102,0.45400115882315073,1000.0,0.05
MCD,0.826,0.21,0.1810344827586207,0.19444444444444442,0.5212299110625682,1000.0,0.1
MCD,0.655,0.17,0.1596244131455399,0.16464891041162227,0.51705830067231,1000.0,0.2
MCD,0.9815,0.15,0.13043478260869565,0.13953488372093023,0.5447647951441579,2000.0,0.01
MCD,0.9185,0.13,0.14606741573033707,0.13756613756613756,0.5302006714526779,2000.0,0.05
MCD,0.829,0.135,0.1377551020408163,0.13636363636363638,0.5276879044300647,2000.0,0.1
MCD,0.664,0.185,0.1761904761904762,0.18048780487804877,0.5113547317661242,2000.0,0.2
MCD,0.9856666666666667,0.13333333333333333,0.19047619047619047,0.1568627450980392,0.5118048562157324,3000.0,0.01
MCD,0.913,0.14,0.13725490196078433,0.13861386138613863,0.5462302940143391,3000.0,0.05
MCD,0.821,0.11333333333333333,0.11147540983606558,0.11239669421487601,0.5334274156756593,3000.0,0.1
MCD,0.665,0.17166666666666666,0.1685761047463175,0.17010734929810073,0.5131073338727213,3000.0,0.2
MCD,0.98275,0.125,0.1282051282051282,0.12658227848101264,0.5098621819146939,4000.0,0.01
MCD,0.9045,0.11,0.09734513274336283,0.10328638497652583,0.5038455946836998,4000.0,0.05
MCD,0.82125,0.145,0.1345707656612529,0.13959085439229843,0.5179923275901859,4000.0,0.1
MCD,0.66325,0.1625,0.161090458488228,0.1617921593030492,0.4978917248892113,4000.0,0.2
MCD,0.9786,0.08,0.06153846153846154,0.06956521739130433,0.46623334112695813,5000.0,0.01
MCD,0.9046,0.12,0.10452961672473868,0.111731843575419,0.5183409222470874,5000.0,0.05
MCD,0.8166,0.114,0.10734463276836158,0.11057225994180407,0.49270365973757696,5000.0,0.1
MCD,0.659,0.161,0.15676728334956183,0.15885545140601876,0.4957107015685968,5000.0,0.2
MCD,0.981,0.11666666666666667,0.10294117647058823,0.10937499999999999,0.4897539764388561,6000.0,0.01
MCD,0.9081666666666667,0.13333333333333333,0.12084592145015106,0.12678288431061804,0.5125874062519485,6000.0,0.05
MCD,0.8256666666666667,0.14833333333333334,0.14262820512820512,0.14542483660130717,0.5157081687843406,6000.0,0.1
MCD,0.6666666666666666,0.1725,0.17051070840197693,0.17149958574979288,0.5125475800849677,6000.0,0.2
MCD,0.9804285714285714,0.07142857142857142,0.06493506493506493,0.06802721088435373,0.5609121486631237,7000.0,0.01
MCD,0.9067142857142857,0.10571428571428572,0.09814323607427056,0.1017881705639615,0.48862836726446823,7000.0,0.05
MCD,0.825,0.13,0.12871287128712872,0.12935323383084577,0.5211695444816327,7000.0,0.1
MCD,0.6694285714285715,0.17285714285714285,0.17310443490701002,0.1729807005003574,0.526093148829434,7000.0,0.2
MCD,0.98125,0.1,0.09302325581395349,0.09638554216867469,0.5336862551498376,8000.0,0.01
MCD,0.911,0.12,0.11764705882352941,0.1188118811881188,0.5189757278042935,8000.0,0.05
MCD,0.8265,0.125,0.12690355329949238,0.12594458438287154,0.507400243812484,8000.0,0.1
MCD,0.66375,0.153125,0.1550632911392405,0.15408805031446543,0.5079407705351157,8000.0,0.2
MCD,0.9815555555555555,0.12222222222222222,0.11224489795918367,0.11702127659574468,0.5307681374054901,9000.0,0.01
MCD,0.9056666666666666,0.09111111111111111,0.08523908523908524,0.08807733619763695,0.4907496731654497,9000.0,0.05
MCD,0.8227777777777778,0.13444444444444445,0.12913553895410887,0.1317365269461078,0.5024762969205553,9000.0,0.1
MCD,0.6675555555555556,0.16555555555555557,0.16666666666666666,0.16610925306577481,0.5189324497698963,9000.0,0.2
MCD,0.9813,0.08,0.07766990291262135,0.07881773399014778,0.5137773435315791,10000.0,0.01
MCD,0.9098,0.104,0.10276679841897234,0.1033797216699801,0.515476802074287,10000.0,0.05
